"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"China","CHN","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.1020011901855","56.4280014038086","53.4290008544922","50.3819999694824","47.3860015869141","45.0480003356934","44.0950012207031","43.5130004882813","42.8390007019043","41.8860015869141","40.7560005187988","39.1790008544922","36.8330001831055","33.4790000915527","31.181999206543","28.632999420166","25.7099990844727","23.3040008544922","21.8819999694824","19.5890007019043","17.6669998168945","16.4479999542236","15.4320001602173","14.5120000839233","14.0059995651245","13.3299999237061","13.3020000457764",
"China","CHN","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.7819995880127","33.1780014038086","35.8409996032715","38.1160011291504","40.4000015258789","42.1650009155273","43.0810012817383","43.6059989929199","44.2099990844727","45.0149993896484","45.8330001831055","46.9070014953613","48.6049995422363","50.7120018005371","52.3479995727539","54.0340003967285","55.7589988708496","57.5130004882813","58.4049987792969","59.7709999084473","61","61.7809982299805","62.3650016784668","62.9440002441406","63.2130012512207","63.6230010986328","63.6469993591309",
"China","CHN","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.8460006713867","34.4529991149902","37.0800018310547","39.2809982299805","41.3880004882813","43.0390014648438","44.0270004272461","44.6199989318848","45.2970008850098","46.173999786377","47.0029983520508","48.0579986572266","49.640998840332","51.4459991455078","52.9990005493164","54.5929985046387","56.2039985656738","57.6119995117188","58.4519996643066","59.7410011291504","60.8339996337891","61.5320014953613","62.1269989013672","62.7019996643066","63.0229988098145","63.4650001525879","63.4889984130859",
"China","CHN","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.4969997406006","31.6380004882813","34.3429985046387","36.7080001831055","39.2050018310547","41.1080017089844","41.9370002746582","42.3810005187988","42.8979988098145","43.6150016784668","44.4140014648438","45.5069999694824","47.3409996032715","49.8110008239746","51.5460014343262","53.3429985046387","55.2039985656738","57.3899993896484","58.3460006713867","59.8089981079102","61.2089996337891","62.0950012207031","62.6660003662109","63.2509994506836","63.4550018310547","63.8250007629395","63.8489990234375",
"China","CHN","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.2360000610352","65.7810001373291","62.9109973907471","60.4790000915527","57.9949989318848","56.0789985656738","55.1410007476807","54.6690006256103","54.0790004730225","53.2550010681152","52.435998916626","51.3190002441406","49.4459991455078","47.0890007019043","45.2569999694824","43.3780002593994","41.4979991912842","39.4679994583129","38.5600004196167","36.9040002822876","35.4239988327026","34.6009998321533","34.0390005111694","33.4469995498658","33.3839988708496","33.0220003128051","32.9910006523132",
"China","CHN","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","SL.EMP.VULN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.6140022277832","63.9160022735595","60.9659996032715","58.5379981994629","56.1370000839233","54.2669982910156","53.2430000305176","52.7309980392456","52.077000617981","51.1699991226197","50.3459997177124","49.2379999160767","47.4060001373291","45.2609987258911","43.4340009689331","41.581000328064","39.7839980125427","38.005000591278","37.1640000343322","35.5029997825623","34.0859994888306","33.3510007858277","32.8080005645752","32.2329998016358","32.2120008468628","31.8509998321533","31.8240003585816",
"China","CHN","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.193000793457","68.0340013504028","65.2600011825562","62.8249998092651","60.2410011291504","58.2709999084473","57.4360008239746","57.0090007781983","56.4990005493164","55.7750015258789","54.9690008163452","53.8500003814697","51.9370002746582","49.3319997787475","47.5019989013672","45.5999984741211","43.6289997100831","41.2940006256104","40.3099994659424","38.6720008850098","37.1119995117187","36.1800003051757","35.5940008163452","34.98300075531","34.8699998855591","34.5109996795655","34.4850006103516",
"China","CHN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.181999206543","75.515998840332","75.5039978027344","75.4100036621094","75.109001159668","74.8949966430664","74.6569976806641","74.2760009765625","73.9680023193359","73.7190017700195","73.0260009765625","72.3489990234375","71.6330032348633","70.8809967041016","70.3410034179688","69.875","69.5830001831055","68.7460021972656","68.3870010375977","67.9919967651367","67.6740036010742","67.375","67.109001159668","66.8219985961914","66.5210037231445","66.140998840332","65.7089996337891",
"China","CHN","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.3199996948242","75.3399963378906","74.4300003051758","73.8199996948242","73.2300033569336","72.8000030517578","72.4400024414063","72.0199966430664","71.4300003051758","70.8899993896484","69.1800003051758","68.8899993896484","68.7399978637695","68.6100006103516","68.4700012207031","68.3600006103516","68.1699981689453","",
"China","CHN","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.3479995727539","80.7600021362305","80.7929992675781","80.7360000610352","80.4440002441406","80.2460021972656","80.0220031738281","79.6309967041016","79.3190002441406","79.068000793457","78.447998046875","77.8539962768555","77.2210006713867","76.5469970703125","76.1210021972656","75.7779998779297","75.6230010986328","74.8089981079102","74.5670013427734","74.2900009155273","73.9619979858398","73.6579971313477","73.3880004882813","73.1110000610352","72.8359985351563","72.5350036621094","72.2509994506836",
"China","CHN","Employment to population ratio, 15+, male (%) (national estimate)","SL.EMP.TOTL.SP.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.7679977416992","70.0230026245117","69.9680023193359","69.8379974365234","69.5339965820313","69.3079986572266","69.0609970092773","68.693000793457","68.3929977416992","68.1500015258789","67.3809967041016","66.6190032958984","65.818000793457","64.984001159668","64.3249969482422","63.7309989929199","63.2949981689453","62.4329986572266","61.951000213623","61.4300003051758","61.1220016479492","60.826000213623","60.5629997253418","60.2639999389648","59.9360008239746","59.4710006713867","58.882999420166",
"China","CHN","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.2180023193359","66.8219985961914","64.1589965820313","61.8839988708496","59.5999984741211","57.8349990844727","56.9189987182617","56.3940010070801","55.7900009155273","54.9850006103516","54.1669998168945","53.0929985046387","51.3950004577637","49.2879981994629","47.6520004272461","45.9659996032715","44.2410011291504","42.4869995117188","41.5950012207031","40.2290000915527","39","38.2190017700195","37.6349983215332","37.0559997558594","36.7869987487793","36.3769989013672","36.3530006408691",
"China","CHN","Self-employed, male (% of male employment) (modeled ILO estimate)","SL.EMP.SELF.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.1539993286133","65.5469970703125","62.9199981689453","60.7190017700195","58.6119995117188","56.9609985351563","55.9729995727539","55.3800010681152","54.7029991149902","53.826000213623","52.9970016479492","51.9420013427734","50.359001159668","48.5540008544922","47.0009994506836","45.4070014953613","43.7960014343262","42.3880004882813","41.5480003356934","40.2589988708496","39.1660003662109","38.4679985046387","37.8730010986328","37.2980003356934","36.9770011901855","36.5349998474121","36.5110015869141",
"China","CHN","Self-employed, female (% of female employment) (modeled ILO estimate)","SL.EMP.SELF.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.5029983520508","68.3619995117188","65.6569976806641","63.2919998168945","60.7949981689453","58.8919982910156","58.0629997253418","57.6189994812012","57.1020011901855","56.3849983215332","55.5859985351563","54.4930000305176","52.6590003967285","50.1889991760254","48.4539985656738","46.6570014953613","44.7960014343262","42.6100006103516","41.6539993286133","40.1910018920898","38.7910003662109","37.9049987792969","37.3339996337891","36.7490005493164","36.5449981689453","36.1749992370605","36.1510009765625",
"China","CHN","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.982999980449677","1.04100000858307","1.24899995326996","1.40499997138977","1.60500001907349","1.75600004196167","1.77699995040894","1.72599995136261","1.71000003814697","1.73000001907349","1.73199999332428","1.77400004863739","1.94900000095367","2.19899988174438","2.39499998092651","2.58800005912781","2.74399995803833","3.01900005340576","3.03500008583069","3.32399988174438","3.57599997520447","3.61800003051758","3.59599995613098","3.60899996757507","3.40199995040894","3.35500001907349","3.36199998855591",
"China","CHN","Employers, male (% of male employment) (modeled ILO estimate)","SL.EMP.MPYR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.53999996185303","1.63100004196167","1.9539999961853","2.18199992179871","2.47499990463257","2.69400000572205","2.72900009155273","2.6489999294281","2.62599992752075","2.65700006484985","2.65100002288818","2.7039999961853","2.95300006866455","3.29299998283386","3.56699991226196","3.82500004768372","4.01200008392334","4.38399982452393","4.38399982452393","4.75600004196167","5.08099985122681","5.11700010299683","5.06500005722046","5.06599998474121","4.7649998664856","4.68400001525879","4.68699979782104",
"China","CHN","Employers, female (% of female employment) (modeled ILO estimate)","SL.EMP.MPYR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.310000002384186","0.328000009059906","0.397000014781952","0.467000007629395","0.552999973297119","0.621999979019165","0.626999974250793","0.609000027179718","0.602999985218048","0.611000001430511","0.616999983787537","0.643999993801117","0.722000002861023","0.85699999332428","0.952000021934509","1.057000041008","1.16700005531311","1.31599998474121","1.34300005435944","1.51999998092651","1.67799997329712","1.72500002384186","1.74000000953674","1.76699995994568","1.67499995231628","1.66400003433228","1.66600000858307",
"China","CHN","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","SL.EMP.1524.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.3619995117188","69.9020004272461","69.5459976196289","68.9580001831055","67.8300018310547","66.8570022583008","65.7389984130859","64.2170028686523","62.8689994812012","61.7239990234375","59.8289985656738","58.0940017700195","56.439998626709","54.8819999694824","53.9090003967285","52.984001159668","52.8009986877441","51.4910011291504","50.9959983825684","50.2649993896484","49.173999786377","47.8769989013672","46.4309997558594","44.9309997558594","43.5120010375977","42.1689987182617","41.5359992980957",
"China","CHN","Employment to population ratio, ages 15-24, total (%) (national estimate)","SL.EMP.1524.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)","SL.EMP.1524.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.9710006713867","68.754997253418","68.5820007324219","68.1549987792969","67.1370010375977","66.2839965820313","65.2730026245117","63.826000213623","62.576000213623","61.5589981079102","59.8050003051758","58.2360000610352","56.7599983215332","55.382999420166","54.6319999694824","53.8209991455078","53.8899993896484","52.6479988098145","52.326000213623","51.7649993896484","50.6100006103516","49.1660003662109","47.492000579834","45.7869987487793","44.1910018920898","42.7060012817383","42.0550003051758",
"China","CHN","Employment to population ratio, ages 15-24, male (%) (national estimate)","SL.EMP.1524.SP.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","SL.EMP.1524.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.822998046875","71.1100006103516","70.5640029907227","69.8059997558594","68.5630035400391","67.463996887207","66.2330017089844","64.6320037841797","63.1800003051758","61.8979988098145","59.8540000915527","57.943000793457","56.0989990234375","54.3489990234375","53.1370010375977","52.0890007019043","51.632999420166","50.2449989318848","49.5550003051758","48.6319999694824","47.601001739502","46.4580001831055","45.2550010681152","43.976001739502","42.75","41.5639991760254","40.9480018615723",
"China","CHN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.3059997558594","53.6879997253418","51.5699996948242","50.5029983520508","49.4459991455078","48.3440017700195","47.1619987487793","46.4609985351563","45.2509994506836","43.7900009155273","42.625","41.2799987792969","39.2470016479492","37.9599990844727","35.8250007629395","33.5040016174316","31.2439994812012","29.5459995269775","27.8449993133545","26.2339992523193","24.5069999694824","23.1690006256104","21.92799949646","20.7299995422363","19.5480003356934","18.3570003509521","17.5100002288818",
"China","CHN","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.4710006713867","52.5940017700195","50.2900009155273","48.8839988708496","47.5859985351563","46.2939987182617","44.8720016479492","43.9280014038086","42.5830001831055","41.060001373291","39.7809982299805","38.3320007324219","36.3769989013672","34.9749984741211","32.8089981079102","30.492000579834","28.2240009307861","26.5400009155273","24.8649997711182","23.318000793457","21.6639995574951","20.3850002288818","19.2049999237061","18.0610008239746","16.9899997711182","15.9270000457764","15.1770000457764",
"China","CHN","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.3139991760254","55.0089988708496","53.1160011291504","52.4609985351563","51.6940002441406","50.8219985961914","49.9290008544922","49.5229988098145","48.4749984741211","47.0890007019043","46.0709991455078","44.867000579834","42.7529983520508","41.6189994812012","39.5400009155273","37.2319984436035","35.0009994506836","33.2960014343262","31.5799999237061","29.9060001373291","28.0919990539551","26.681999206543","25.3680000305176","24.1049995422363","22.7880001068115","21.4489994049072","20.4969997406006",
"China","CHN","Child employment in agriculture (% of economically active children ages 7-14)","SL.AGR.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Child employment in agriculture, male (% of male economically active children ages 7-14)","SL.AGR.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Child employment in agriculture, female (% of female economically active children ages 7-14)","SL.AGR.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","School enrollment, primary, male (% net)","SE.PRM.NENR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.943733215332","","","","99.0062484741211","97.2842102050781","95.7012176513672","93.8719787597656","91.9276809692383","90.699333190918","90.0301132202148","","","","","","","","","","","","","","","","","","","","",
"China","CHN","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.0988311767578","","","","93.2235488891602","92.0701599121094","90.9332809448242","89.6425170898438","88.5909805297852","88.1047973632813","88.1812362670898","","","","","","","","","","","","","","","","","","","","",
"China","CHN","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.1392517089844","95.5150833129883","96.5028915405273","96.8718872070313","96.2008666992188","94.755241394043","93.3894500732422","91.8224105834961","90.3119506835938","89.4441909790039","89.1366195678711","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.917556762695","113.285598754883","103.44132232666","100.281379699707","98.2589263916016","98.7785034179688","99.8485794067383","95.6466674804688","93.6316299438477","","","","95.8649368286133","103.70329284668","109.283088684082","","","107.166580200195","112.671798706055","113.262542724609","109.725379943848","106.047706604004","106.678169250488","","106.031471252441","103.904426574707","100.810440063477","104.10555267334","",
"China","CHN","Gross intake ratio in first grade of primary education, male (% of relevant age group)","SE.PRM.GINT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.2084274291992","94.0571212768555","","","","","102.906723022461","109.10481262207","","","107.824287414551","113.383361816406","114.24137878418","110.33171081543","106.89379119873","106.607093811035","","105.405632019043","103.36979675293","100.492820739746","103.448852539063","",
