Guinea-Bissau,GNB,1037155,1861283
Kosovo,XKX,1898000,1830700
Bahrain,BHR,509765,1492584
Trinidad and Tobago,TTO,1229907,1369125
Swaziland,SWZ,885623,1367254
Estonia,EST,1561314,1315480
Timor-Leste,TLS,777011,1296311
Equatorial Guinea,GNQ,440624,1267689
Mauritius,MUS,1070266,1264613
Cyprus,CYP,783129,1179551
Djibouti,DJI,606844,956985
Fiji,FJI,735473,905502
Comoros,COM,423872,813912
Bhutan,BTN,537284,807610
Guyana,GUY,744289,777859
"Macao SAR, China",MAC,353764,622567
Montenegro,MNE,607105,622471
Solomon Islands,SLB,320753,611343
Luxembourg,LUX,387000,599449
Suriname,SUR,415216,563402
Cabo Verde,CPV,349934,546388
Malta,MLT,363845,465292
Maldives,MDV,229754,436330
Brunei Darussalam,BRN,266274,428697
"Bahamas, The",BHS,261116,395361
Belize,BLZ,191126,374681
Iceland,ISL,257797,341284
Barbados,BRB,261275,285719
French Polynesia,PYF,202016,283007
New Caledonia,NCL,175362,280460
Vanuatu,VUT,150778,276244
Sao Tome and Principe,STP,116294,204327
Samoa,WSM,164076,196440
St. Lucia,LCA,140156,178844
Channel Islands,CHI,141568,165314
Guam,GUM,133558,164229
Curacao,CUW,144403,161014
Kiribati,KIR,73700,116398
St. Vincent and the Grenadines,VCT,107814,109897
Tonga,TON,95333,108020
Grenada,GRD,96454,107825
Virgin Islands (U.S.),VIR,104807,107268
"Micronesia, Fed. Sts.",FSM,98799,105544
Aruba,ABW,64622,105264
Antigua and Barbuda,ATG,67307,102012
Seychelles,SYC,70439,95843
Isle of Man,IMN,69096,84287
Andorra,AND,56671,76965
Dominica,DMA,70842,73925
Bermuda,BMU,59021,65441
Cayman Islands,CYM,26213,61559
Greenland,GRL,55500,56171
American Samoa,ASM,48375,55641
St. Kitts and Nevis,KNA,41013,55345
Northern Mariana Islands,MNP,45249,55144
Marshall Islands,MHL,48475,53127
Faroe Islands,FRO,47457,49290
Sint Maarten (Dutch part),SXM,0,41109
Monaco,MCO,29624,38695
Liechtenstein,LIE,29108,37922
Turks and Caicos Islands,TCA,12206,35446
Gibraltar,GIB,29212,34571
San Marino,SMR,24386,33400
St. Martin (French part),MAF,31821,32125
British Virgin Islands,VGB,16934,31196
Palau,PLW,15474,21729
Nauru,NRU,9348,13649
Tuvalu,TUV,9053,11192
